Jurisdiction,Year,Category,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Calvert County,2010,Total Non-Hispanic White,3673,4760,5499,5413,3724,3525,3415,4052,5943,7229,6312,5051,4004,2848,1821,1350,1059,1002,70680
Somerset County,2015,Total Non-Hispanic Black,390,425,461,1425,2544,783,633,612,561,564,598,518,365,291,206,117,122,111,10726
Anne Arundel County,2045,Total Non-Hispanic White,19524,18527,17950,18964,20397,22020,21887,20056,19910,21108,22031,22790,20819,17310,16995,17216,15758,18357,351619
Anne Arundel County,2015,Total Non_Hispanic Other,2760,4005,3641,3302,2840,2538,2869,2898,2630,2221,2218,1983,1580,1159,859,464,293,136,38396
Anne Arundel County,2020,Hispanic Male,2341,2430,2310,2072,1953,1756,2049,2355,2051,1588,1206,892,598,381,231,132,84,35,24464
Harford County,2035,Non-Hisp Other Male,1064,967,869,731,526,734,771,644,545,527,549,516,510,434,360,108,82,26,9963
St. Mary's County,2010,Total Non_Hispanic Other,770,684,614,598,416,342,372,321,388,381,318,236,211,117,75,48,37,18,5946
Queen Anne's County,2015,Total Non-Hispanic Black,139,179,209,164,201,181,195,161,194,227,254,309,264,193,155,115,72,79,3291
Calvert County,2010,Non-Hisp Black Male,344,380,474,500,387,262,284,332,479,554,463,386,272,209,137,101,65,45,5674
Queen Anne's County,2035,Total Non-Hispanic White,2577,2876,2879,2405,1697,1904,2656,3211,3140,3469,2908,2431,2909,3574,3656,3098,1818,2107,49315
Prince George's County,2015,Hispanic Female,8066,6558,6198,5025,5613,6688,7170,6717,5155,4162,3258,2272,1602,943,534,372,221,149,70703
Montgomery County,2035,Hispanic Female,11211,10443,9970,9663,10044,10046,10192,9398,9065,9604,9438,8775,7556,6370,5767,3885,2636,1491,145554
Baltimore County,2030,Total Non-Hispanic White,16970,17287,19258,22654,21269,20846,21054,22368,24335,24138,22539,22614,26256,30119,29508,23392,17435,19077,401119
Washington County,2045,Non-Hisp Black Female,1352,1245,1231,1203,1082,1001,925,949,1016,1046,1035,903,865,879,452,339,283,114,15920
Charles County,2035,Hispanic Male,788,736,671,629,704,614,592,495,489,459,403,328,305,204,170,112,24,31,7754
Baltimore County,2015,Hispanic Female,2295,2156,1769,1573,1690,1966,1886,1704,1478,1124,876,688,466,342,231,124,94,109,20571
Frederick County,2010,Non-Hisp Other Female,851,872,762,636,429,499,639,704,628,496,419,286,207,148,102,70,49,27,7824
Garrett County,2010,Non-Hisp Black Female,12,8,9,30,20,4,2,5,1,0,1,4,0,1,3,1,0,0,101
Anne Arundel County,2045,Hispanic Male,3378,3203,2938,2894,2789,2272,2399,2385,2020,1694,1748,1947,2150,1789,1309,921,603,199,36638
Calvert County,2010,Total Female,2394,3161,3541,3343,2300,2185,2266,2758,3875,4533,3860,3072,2355,1673,1174,941,770,823,45024
Talbot County,2040,Total Hispanic,352,348,317,277,242,250,254,223,173,150,205,258,203,126,73,47,16,20,3534
Kent County,2030,Non-Hisp Other Female,18,12,4,27,69,34,22,10,9,7,8,7,10,17,8,6,6,2,276
Caroline County,2045,Hispanic Female,337,308,289,271,224,166,185,137,192,58,51,41,21,15,12,10,9,20,2346
State of Maryland,2040,Non-Hisp Black Male,72001,71551,74528,76929,72022,68872,67355,68434,68941,75251,66851,58355,48847,43636,39936,33348,22476,19666,1048999
Garrett County,2030,Total Hispanic,45,39,46,73,54,20,20,25,27,35,30,35,31,7,6,8,10,8,519
St. Mary's County,2040,Non-Hisp White Female,3251,3314,3330,3031,2629,2804,3254,3715,3644,3747,3608,3206,2635,2477,2630,2710,1946,1963,53894
Queen Anne's County,2035,Non-Hisp Other Female,112,124,99,68,59,99,93,62,55,50,45,65,80,67,69,42,33,0,1222
Howard County,2030,Non-Hisp White Female,3248,3516,3776,2806,1810,3136,4259,5131,4407,4132,3701,4193,5022,6176,5911,5293,4036,3404,73957
Frederick County,2035,Non-Hisp White Female,5869,5800,5618,5009,4131,5239,7671,7697,6850,5765,5361,4745,5375,6500,7134,6408,4738,7195,107105
Anne Arundel County,2025,Non-Hisp Other Male,1769,1568,1626,2547,2318,1813,1661,1521,1478,1404,1290,1076,1045,823,579,366,256,95,23235
Prince George's County,2045,Non-Hisp Other Male,2362,2198,2147,3300,3362,2392,1835,2164,2276,2014,2259,2086,1851,1584,1261,735,342,237,34405
State of Maryland,2020,Total Male,186530,184615,195215,201389,191354,211227,212244,203470,183714,181345,195313,209927,189168,147709,114033,73726,43773,41894,2966646
Worcester County,2035,Total Non-Hispanic White,1663,1802,2189,2034,1855,1928,2033,2032,2336,2625,2799,2994,3877,4393,4394,3364,2304,2428,47050
St. Mary's County,2025,Total,8699,8378,8681,9176,8222,8102,8692,8889,8759,7459,7377,8293,8671,6717,4839,3761,2380,2106,129201
Kent County,2020,Total Non_Hispanic Other,29,25,80,109,80,29,26,19,23,16,19,27,25,23,17,6,3,2,558
Kent County,2020,Total Non-Hispanic Black,137,135,139,157,148,152,171,144,196,164,230,286,245,231,158,134,82,145,3054
Baltimore County,2045,Total Non-Hispanic White,17266,17052,16554,20097,19650,18437,19511,18565,19110,19884,20836,22580,22036,19530,18208,18698,18089,26854,352957
Howard County,2015,Total Female,9272,9606,11208,10420,8503,9436,10467,10582,11294,12349,13390,11520,9436,7814,5364,3538,2382,2648,159229
Frederick County,2025,Total Female,9499,8045,7632,8846,9576,10590,10156,8861,8364,7805,8622,9754,10404,8782,6626,5671,3624,5069,147926
Allegany County,2020,Non-Hisp Black Male,1416,1567,1375,1809,1767,1523,2235,1670,1847,1556,1953,2079,2487,2508,2103,1854,1237,1276,32262
Worcester County,2045,Non-Hisp Other Male,113,116,109,69,66,36,42,123,74,77,62,48,44,29,24,18,11,18,1079
Washington County,2030,Total,11600,11236,10465,9808,11688,12066,10579,10202,10345,10418,9808,10173,10972,10969,8808,6852,4692,4721,175402
Somerset County,2025,Total Hispanic,136,125,110,178,122,53,57,95,72,57,46,15,8,5,1,2,1,6,1089
Calvert County,2020,Non-Hisp Other Female,131,138,281,319,148,147,150,132,124,156,179,178,134,73,54,41,23,3,2411
Garrett County,2010,Hispanic Male,17,13,10,12,12,6,8,7,9,7,0,2,3,1,1,2,2,1,113
Baltimore County,2020,Non-Hisp Black Female,8238,8602,9421,8958,9964,11009,9928,9354,9076,8996,9613,9403,8363,7096,5294,3083,1883,2733,141014
Baltimore County,2025,Total Non_Hispanic Other,6446,6392,6612,8674,7896,6820,6054,6043,5996,5952,5861,4587,3985,3137,2307,1729,967,629,90087
Talbot County,2030,Total,1879,2038,2047,1861,1762,1886,1784,1938,2291,2320,1992,2340,2708,3551,3317,2836,2188,2160,40898
Washington County,2045,Non-Hisp Other Male,614,704,693,699,461,349,289,559,498,375,279,213,212,124,146,107,40,0,6362
Wicomico County,2025,Total Male,3434,3093,3093,4337,4702,3525,3324,3486,3049,3149,2735,2837,3051,3015,2253,1645,943,897,52568
Howard County,2045,Hispanic Female,1419,1441,1416,1346,1227,1120,1136,1298,1236,1241,1074,912,893,689,591,480,321,118,17958
Harford County,2030,Total Hispanic,1286,1375,1374,1531,1686,1405,1319,1079,861,914,843,732,582,470,336,222,163,48,16226
Frederick County,2035,Total Male,11147,10727,10420,8712,7500,8998,11730,11656,10648,8866,8151,7333,7799,8177,8089,6376,4596,4221,155146
Queen Anne's County,2015,Non-Hisp Other Male,37,105,103,72,58,38,24,27,40,51,41,33,28,24,16,12,2,0,711
Queen Anne's County,2030,Non-Hisp White Male,1203,1346,1282,1177,920,951,1310,1336,1733,1454,1141,1378,1756,1989,1557,1187,720,665,23105
Baltimore County,2040,Total Female,25379,25247,25375,28839,28663,27895,28294,27475,27995,28173,28381,27508,25648,24276,23945,22933,19156,24497,469679
Somerset County,2025,Total Male,729,638,623,1068,1897,1250,1143,987,951,855,757,765,982,796,596,436,293,189,14955
Prince George's County,2030,Total Non-Hispanic White,5113,4763,4454,7602,9831,6767,7011,8732,7710,5643,4858,4543,5217,6743,7271,6124,4232,4429,111043
Worcester County,2020,Total Male,1108,1157,1497,1420,1280,1210,1255,1243,1246,1423,1824,2254,2272,1964,1730,1275,815,658,25631
Caroline County,2015,Total Non-Hispanic Black,272,327,412,281,276,250,238,258,254,322,377,380,301,230,171,96,81,70,4596
Wicomico County,2010,Total Non-Hispanic White,3122,3349,3389,5860,6314,3971,3540,3644,4004,4715,4938,4552,4073,3202,2202,1850,1544,1498,65767
Dorchester Co,2025,Hispanic Female,136,134,134,158,127,92,83,89,50,52,24,32,16,16,23,13,15,3,1197
Kent County,2030,Non-Hisp White Male,251,313,335,462,447,354,267,417,452,440,456,485,642,893,713,590,403,290,8210
Caroline County,2035,Total,2991,2902,2827,2358,2046,2409,2580,2263,2279,2553,2462,2303,2156,2368,2327,1828,1150,956,40758
Calvert County,2020,Non-Hisp Black Male,287,283,400,392,385,281,302,313,372,382,518,549,438,350,235,160,97,59,5803
Prince George's County,2035,Non-Hisp Other Male,2380,1980,1860,2715,2924,3037,2517,2028,2197,2007,1862,1933,1794,1403,1097,664,309,195,32902
Calvert County,2010,Total Male,2594,3159,3706,3629,2532,2204,2079,2387,3588,4314,3768,3023,2428,1715,1040,697,495,355,43713
Baltimore County,2035,Hispanic Female,2609,2499,2524,2758,2700,2385,2210,1995,1989,2115,2051,1850,1560,1125,833,453,206,111,31973
Montgomery County,2030,Hispanic Male,11191,10182,9627,9612,9222,9110,8236,8518,9181,9959,9111,7866,6393,4736,3136,2028,931,574,129613
Dorchester Co,2020,Non-Hisp White Male,443,489,543,538,468,484,604,691,547,571,742,888,920,808,682,472,253,220,10363
Calvert County,2040,Non-Hisp Other Male,211,214,251,200,109,102,179,189,182,139,127,106,93,92,97,77,33,9,2410
Garrett County,2015,Non-Hisp Other Male,10,21,34,16,28,23,8,8,9,4,10,7,9,7,3,2,5,2,206
Dorchester Co,2025,Total Male,988,1013,1028,1157,898,858,864,1120,1248,985,1016,1164,1323,1264,928,658,416,292,17220
Allegany County,2020,Non-Hisp White Male,1582,29,30,74,45,38,31,27,31,35,16,7,10,8,10,6,5,8,1992
Baltimore City,2045,Non-Hisp Black Male,12025,12508,11883,13432,13804,12859,11765,12408,12298,11926,12664,11879,9899,7294,5285,4716,3845,3507,183997
Harford County,2020,Total Male,7487,7389,8308,8645,7669,7884,8205,8030,6967,7501,8490,9619,8806,6732,5511,3280,2031,1904,124458
Wicomico County,2015,Total Female,2711,3184,3171,4730,4857,3539,2976,3190,2899,3155,3675,3609,3242,2741,2007,1333,1050,1412,53481
Harford County,2010,Non-Hisp Other Female,720,690,625,488,317,381,392,492,412,400,368,262,234,183,108,78,52,31,6233
Washington County,2010,Non-Hisp Other Female,443,405,339,252,165,197,173,187,164,174,129,106,69,58,45,27,11,10,2954
Allegany County,2020,Non-Hisp White Female,1562,1720,1616,1935,2020,1761,2507,1952,2025,1763,1895,2230,2276,2117,1707,1375,833,771,32065
St. Mary's County,2040,Total Non-Hisp Other,1021,1042,1175,1036,738,635,999,860,721,618,521,484,505,362,390,300,130,67,11604
Baltimore County,2035,Total Non-Hispanic Black,20469,21072,21863,21614,21094,21363,20062,20995,22538,20244,18013,16920,16471,16299,14499,11105,7590,8276,320487
State of Maryland,2025,Hispanic Female,29470,27549,29759,29479,27226,23403,23493,25983,26800,24961,20540,16771,13821,9614,6456,4049,2395,1551,343320
Allegany County,2045,Non-Hisp Other Female,112,136,142,206,172,119,90,154,134,104,80,68,60,26,31,13,14,11,1672
Prince George's County,2030,Total Male,29534,28430,27390,32890,33456,30097,28878,35126,32846,30092,27670,25669,25297,23660,18315,12817,8198,6717,457082
Anne Arundel County,2030,Total Male,18638,18123,18083,18715,19565,18034,19108,20303,20580,20109,16813,16402,16808,16985,13685,9696,6659,4934,293240
Prince George's County,2020,Total,57488,56690,55073,60378,63894,72497,68324,62367,58987,57357,59807,61428,55193,44662,34010,21825,13049,13113,916142
Wicomico County,2015,Hispanic Female,277,310,204,208,214,233,253,195,139,99,99,67,28,26,20,10,7,10,2399
Prince George's County,2035,Non-Hisp White Male,2327,2116,2189,4059,5969,3715,3176,3432,4425,3891,2770,2222,2025,2194,2772,2749,1963,1776,53770
Baltimore City,2035,Hispanic Female,871,755,861,1281,1190,694,522,315,561,1274,1626,1327,859,546,372,188,46,6,13294
Queen Anne's County,2035,Non-Hisp Black Male,110,93,102,92,112,134,111,94,159,160,142,146,117,159,179,193,74,34,2211
Baltimore County,2030,Non-Hisp White Male,8661,8857,9856,11324,10549,10423,10708,11384,12163,11814,11114,10913,12555,13994,13395,10203,7216,6812,191941
Wicomico County,2025,Total Non-Hispanic White,3205,2852,2524,5019,6386,4811,3983,4054,3469,3878,3577,3923,4378,4469,3899,3065,1980,2138,67610
Caroline County,2040,Total Non_Hispanic Other,202,173,213,151,60,52,136,120,100,67,59,49,27,23,22,16,11,7,1488
Garrett County,2010,Non-Hisp Other Male,13,15,16,14,16,9,5,11,2,10,8,6,8,4,2,2,2,0,143
St. Mary's County,2035,Total Male,5155,5217,5199,4916,4306,4901,4965,4865,4958,4871,4627,3821,3267,3361,3405,2400,1471,1590,73295
Kent County,2040,Non-Hisp Other Male,30,34,36,51,42,10,19,16,12,13,10,18,15,8,8,2,1,0,325
Kent County,2025,Non-Hisp Black Female,62,62,80,76,74,45,61,89,72,92,85,142,160,178,112,70,74,134,1668
Queen Anne's County,2040,Total Non-Hispanic White,2682,3069,3111,2699,1800,1773,2562,3283,3552,3259,3478,3027,2440,2857,3295,3427,2258,2494,51066
Allegany County,2015,Total Female,1434,1703,1773,2602,2650,1593,1964,1629,1954,2067,2507,2518,2394,2270,1784,1490,1118,1364,34814
Baltimore City,2045,Non-Hisp Other Female,780,685,598,1411,1512,1270,990,1169,1172,1146,1186,1788,1825,1437,1084,637,409,225,19324
Worcester County,2025,Total Male,1219,1246,1402,1483,1423,1256,1250,1308,1400,1378,1580,2080,2624,2164,1807,1444,939,793,26796
Charles County,2020,Total Female,5102,5080,5765,5873,5140,5676,5321,5350,5342,6409,7292,7190,5514,4272,3257,2319,1230,1338,87470
Charles County,2040,Hispanic Female,801,776,740,706,671,693,696,680,549,569,532,394,251,215,158,92,64,41,8628
Somerset County,2030,Non-Hisp Black Female,326,286,259,827,1344,458,274,374,112,165,202,146,190,224,217,137,96,98,5735
Somerset County,2040,Non-Hisp Black Female,279,302,338,1165,1351,238,366,353,268,395,115,141,173,146,203,147,114,137,6231
State of Maryland,2015,Non-Hisp Other Female,19173,23248,22372,21578,17990,19628,21438,22061,21712,19665,18446,16038,13080,10192,6964,4702,2828,2364,283479
Baltimore City,2030,Non-Hisp White Male,5323,3682,3030,2986,5141,10946,9406,10396,9528,6745,4920,3812,3600,3392,2961,2341,1492,953,90654
Howard County,2025,Hispanic Female,1199,1093,1125,1272,1132,1201,1125,956,980,1002,814,705,496,291,207,135,116,50,13899
Allegany County,2025,Non-Hisp White Male,1562,1720,1616,1935,2020,1761,2507,1952,2025,1763,1895,2230,2276,2117,1707,1375,833,771,32065
Queen Anne's County,2040,Non-Hisp White Male,1338,1549,1557,1406,903,849,1240,1613,1830,1533,1749,1534,1225,1316,1526,1654,966,988,24776
Cecil County,2010,Total Hispanic,440,379,322,330,289,311,277,247,233,176,145,82,65,37,28,18,11,17,3407
Garrett County,2035,Non-Hisp Black Male,16,9,13,110,4,6,7,12,11,6,1,2,4,2,4,2,3,0,212
Calvert County,2040,Total Non_Hispanic Other,394,426,485,408,206,200,384,450,409,339,312,262,237,202,216,188,104,14,5236
Allegany County,2040,Total Hispanic,93,74,65,166,130,130,154,148,147,135,122,74,60,53,30,19,13,21,1634
Caroline County,2045,Non-Hisp Black Female,256,232,337,290,256,212,191,214,267,178,251,231,249,228,185,174,179,182,4112
Prince George's County,2030,Total Female,28255,27371,26349,31544,30228,30470,30713,33945,33494,30101,29096,28765,29820,28852,24612,20502,14786,16984,495887
Baltimore County,2030,Hispanic Female,2519,2528,2506,2897,2568,2215,2006,2007,2129,2055,1860,1557,1164,868,642,319,166,88,30094
St. Mary's County,2045,Non-Hisp Black Male,1010,1050,1122,1162,947,951,911,940,930,888,876,888,738,458,423,376,300,184,14154
Cecil County,2040,Total,8913,9324,8900,8197,7161,7631,9393,8807,7739,7630,7817,7102,7138,6873,6853,6243,4511,5213,135445
Calvert County,2020,Non-Hisp Other Male,160,154,312,281,150,117,106,91,90,111,123,124,95,50,40,23,11,4,2042
Garrett County,2030,Total,1601,1673,1693,1745,1622,1633,1795,1807,1718,1827,1812,2032,2213,2347,2069,1554,1100,1003,31244
Worcester County,2035,Total Female,1324,1306,1523,1415,1239,1448,1534,1492,1622,1744,1764,1906,2325,2664,2766,2277,1536,1647,31532
Talbot County,2010,Total Male,959,1063,1035,1095,901,927,798,934,1088,1308,1263,1287,1326,1282,1026,754,546,427,18019
Worcester County,2030,Total Hispanic,211,166,143,167,197,197,150,121,195,189,160,130,112,81,46,33,23,36,2357
Carroll County,2010,Non-Hisp White Female,3735,4859,5459,5494,3979,3434,3457,4788,6357,7401,6598,5406,4665,3523,2429,2030,1886,2039,77539
Somerset County,2020,Hispanic Female,55,52,60,83,58,34,53,35,29,25,14,6,4,2,1,1,2,4,518
Howard County,2040,Non-Hisp White Female,2045,2533,3250,3009,2177,2226,1994,2944,4163,4689,3953,3705,3107,3403,4231,5472,4972,5777,63650
Harford County,2045,Total Non_Hispanic Other,2323,2530,2368,2097,1521,1325,1416,2059,1969,1693,1421,1232,1287,1071,940,541,457,159,26409
Washington County,2020,Non-Hisp Other Female,333,249,596,520,374,325,228,274,230,247,204,182,138,107,71,39,7,16,4140
Cecil County,2015,Non-Hisp Other Female,136,225,228,224,147,130,116,117,140,115,90,102,73,24,27,22,7,3,1926
Allegany County,2030,Non-Hisp White Female,1374,1548,1575,1682,1670,1490,1843,2214,1678,1890,1640,1947,2173,2467,2331,1909,1463,1336,32230
Caroline County,2030,Total Non_Hispanic Other,190,145,129,82,121,104,89,78,71,49,43,40,29,26,26,16,9,6,1253
Frederick County,2025,Non-Hisp White Male,6092,5148,4801,5568,6790,7324,7047,6207,5432,4753,5424,6658,7826,6721,5070,3982,2604,2259,99706
Washington County,2030,Total Male,5764,5772,5411,5235,6288,6548,5627,5168,5268,5250,4981,4929,5201,5029,4035,2970,1968,1725,87169
Somerset County,2015,Total Hispanic,122,130,77,94,94,101,72,69,54,30,26,14,5,6,1,2,7,3,907
Anne Arundel County,2035,Hispanic Female,2973,2719,2507,2532,2751,2552,2267,1870,1746,1962,2057,1814,1476,898,640,475,285,125,31649
State of Maryland,2040,Total Non_Hispanic Other,57022,55858,54385,57080,50458,49582,59618,58902,54692,49116,47330,47718,46134,41634,34172,27659,19420,20524,831304
State of Maryland,2035,Non-Hisp Black Female,66577,67074,68858,69812,66443,70748,73279,76192,81976,77457,69429,63217,62534,64073,61504,49537,34958,43022,1166690
Talbot County,2045,Non-Hisp White Female,555,715,719,641,532,570,609,758,969,920,1010,1162,1207,1204,1269,1232,1272,1701,17045
Dorchester Co,2030,Total Non-Hispanic Black,708,616,717,728,767,558,564,652,851,734,666,714,750,690,590,420,199,362,11286
Garrett County,2035,Non-Hisp Other Male,38,31,27,19,27,55,43,27,17,17,9,5,12,3,3,2,4,7,346
Washington County,2015,Total Non-Hispanic Black,1093,996,1081,1239,1758,1610,1353,1340,1295,1235,1116,834,519,307,133,92,53,29,16083
Carroll County,2010,Non-Hisp Other Male,293,325,252,245,152,100,100,140,156,186,139,109,67,52,39,19,7,6,2387
Caroline County,2040,Total,3174,3162,3245,2713,2046,2162,2656,2865,2404,2277,2668,2570,2208,2133,2170,1933,1396,1163,42945
Garrett County,2040,Total Female,810,868,900,898,860,723,794,970,1033,949,960,1026,941,1003,960,944,756,850,16245
Caroline County,2045,Total Non-Hispanic White,1855,2056,2207,1942,1496,1476,1726,2237,2226,1855,1802,2201,1926,1681,1506,1422,1143,1111,31868
Garrett County,2020,Total Male,692,754,938,1069,904,780,739,834,881,884,1012,1212,1212,1037,835,578,334,244,14939
State of Maryland,2045,Total Female,201926,201800,204385,216183,209950,212856,213189,217977,222491,219233,224698,219889,202918,176492,165257,161338,146010,206531,3623123
Talbot County,2040,Non-Hisp Black Female,151,150,170,165,160,156,158,172,131,189,201,164,152,164,183,171,203,216,3056
Washington County,2020,Total Non-Hispanic White,6383,5832,6927,7031,6319,6371,6869,7433,7165,7850,8974,9938,9165,7821,6410,4671,3039,3658,121856
St. Mary's County,2025,Non-Hisp White Male,3038,2960,3044,2958,2706,3035,3158,3327,3225,2735,2683,3097,3349,2619,1864,1419,967,879,47063
Calvert County,2045,Non-Hisp Other Male,199,227,249,231,121,113,105,192,209,187,141,131,105,76,88,80,42,14,2510
Anne Arundel County,2020,Total Non-Hispanic White,20281,20228,20181,19862,21306,23756,25873,24519,21184,22916,27478,31620,28434,24075,20598,13931,7965,8284,382491
Carroll County,2020,Non-Hisp White Male,3538,3839,4425,4761,4146,3847,4042,3999,3456,4165,5844,6855,5924,4666,3718,2515,1570,1599,72909
Allegany County,2045,Non-Hisp Black Female,92,60,67,409,331,130,93,68,54,70,120,98,43,50,29,32,50,118,1914
Anne Arundel County,2025,Non-Hisp White Female,9639,9550,9902,8807,8591,10836,11551,12360,11282,10476,11419,13527,14984,13424,11558,9648,6235,5689,189478
Baltimore County,2020,Total Hispanic,4909,5075,4718,4238,3790,4112,4590,4482,4019,3325,2385,1811,1381,900,591,316,162,170,50974
Caroline County,2025,Total Male,1155,1074,1235,1349,997,803,817,1159,1116,987,1083,1236,1215,1161,814,565,289,237,17292
Prince George's County,2010,Non-Hisp Other Female,2155,1817,1760,2510,2696,2595,2342,2182,1949,1948,2030,1870,1557,987,636,476,309,251,30070
Carroll County,2035,Non-Hisp White Female,3447,4019,3952,3743,3176,3029,4006,4580,4524,4407,4037,3444,4294,5901,6510,5736,4619,5967,79391
Carroll County,2035,Total Non_Hispanic Other,896,951,821,726,435,613,683,608,534,477,392,359,487,463,433,167,90,93,9228
Prince George's County,2020,Non-Hisp Black Female,16339,16614,16793,16302,18003,22432,21509,18690,18375,20088,22727,23899,21258,18137,14137,9048,5416,5937,305704
Montgomery County,2010,Total Female,30995,31817,31729,28735,26737,33733,34514,35491,38318,41164,39764,34946,28127,19811,14289,11722,10462,13021,505375
Calvert County,2045,Total Male,2618,2891,3327,3239,2548,2270,2375,2847,3559,3832,3583,3256,2623,2018,1822,2103,2000,1869,48780
Cecil County,2025,Total Non-Hispanic Black,657,574,614,619,565,786,778,618,517,583,640,698,673,409,227,146,62,62,9228
Baltimore City,2020,Non-Hisp Black Male,12163,11863,12978,13061,12648,12794,12167,11849,11274,10227,10804,12061,10738,7653,5379,3240,1874,1773,174546
Baltimore City,2010,Total Non-Hispanic White,7749,5574,5010,8233,17361,21973,15676,11400,10476,11003,11712,11447,10249,7469,5276,4461,4239,4812,174120
Garrett County,2045,Hispanic Male,34,35,33,37,33,14,28,24,25,20,9,15,19,7,6,6,7,5,357
Allegany County,2020,Total Non-Hispanic Black,1463,1619,1428,2122,2477,2249,3190,2476,2375,1868,2219,2266,2654,2542,2131,1871,1255,1281,37486
Frederick County,2020,Total Non-Hispanic Black,1806,1681,1858,2051,1685,1763,1509,1652,1720,1866,2016,1827,1339,897,601,380,249,204,25104
Worcester County,2045,Total Non-Hispanic Black,613,590,701,657,612,545,562,687,598,551,531,415,397,391,305,361,351,389,9256
Talbot County,2015,Total Non_Hispanic Other,48,150,134,105,90,59,77,57,57,84,65,44,37,20,18,14,9,7,1075
Montgomery County,2030,Total Non_Hispanic Other,15651,15156,14761,15252,14314,16591,16628,14921,14568,15850,16367,16170,14876,13845,11399,8539,5998,8353,249239
Carroll County,2025,Total Male,4588,4779,4622,5060,4697,4437,4998,5183,4695,3995,4771,6488,7179,5977,4413,3481,2218,2122,83703
Montgomery County,2010,Total Non_Hispanic Other,12944,12736,11605,10075,8578,11360,12932,13829,13201,13247,11749,9658,7987,5787,4291,2794,1735,1417,165925
